setting,project,top_k,ground_truth,n_test_issues,frac_bug_mean,frac_bug_majority,frac_bug_p25,frac_bug_p75
project_specific,kubernetes_kubernetes,3,bug,100,0.5733333333333333,0.55,0.3333333333333333,1.0
project_specific,kubernetes_kubernetes,3,feature,100,0.24,0.22,0.0,0.3333333333333333
project_specific,kubernetes_kubernetes,3,question,100,0.14666666666666667,0.04,0.0,0.3333333333333333
project_specific,kubernetes_kubernetes,9,bug,100,0.5633333333333332,0.52,0.2222222222222222,1.0
project_specific,kubernetes_kubernetes,9,feature,100,0.26,0.12,0.1111111111111111,0.4444444444444444
project_specific,kubernetes_kubernetes,9,question,100,0.19333333333333327,0.03,0.1111111111111111,0.3333333333333333
project_specific,kubernetes_kubernetes,30,bug,100,0.4703333333333333,0.35,0.3,0.7333333333333333
project_specific,kubernetes_kubernetes,30,feature,100,0.2833333333333333,0.03,0.2,0.36666666666666664
project_specific,kubernetes_kubernetes,30,question,100,0.2286666666666667,0.01,0.16666666666666666,0.3
project_specific,microsoft_TypeScript,3,bug,100,0.35,0.32,0.0,0.6666666666666666
project_specific,microsoft_TypeScript,3,feature,100,0.06333333333333332,0.01,0.0,0.0
project_specific,microsoft_TypeScript,3,question,100,0.15,0.08,0.0,0.3333333333333333
project_specific,microsoft_TypeScript,9,bug,100,0.37888888888888894,0.27,0.1111111111111111,0.5555555555555556
project_specific,microsoft_TypeScript,9,feature,100,0.07,0.01,0.0,0.1111111111111111
project_specific,microsoft_TypeScript,9,question,100,0.16444444444444442,0.04,0.0,0.2222222222222222
project_specific,microsoft_TypeScript,30,bug,100,0.3903333333333333,0.25,0.16666666666666666,0.5083333333333333
project_specific,microsoft_TypeScript,30,feature,100,0.08433333333333332,0.02,0.0,0.13333333333333333
project_specific,microsoft_TypeScript,30,question,100,0.15766666666666665,0.03,0.09166666666666667,0.2
project_specific,microsoft_vscode,3,bug,100,0.54,0.54,0.3333333333333333,0.6666666666666666
project_specific,microsoft_vscode,3,feature,100,0.4033333333333334,0.42,0.0,0.6666666666666666
project_specific,microsoft_vscode,3,question,100,0.15333333333333332,0.11,0.0,0.3333333333333333
project_specific,microsoft_vscode,9,bug,100,0.4855555555555556,0.45,0.3333333333333333,0.6666666666666666
project_specific,microsoft_vscode,9,feature,100,0.3811111111111111,0.34,0.1111111111111111,0.5555555555555556
project_specific,microsoft_vscode,9,question,100,0.19,0.08,0.08333333333333333,0.3333333333333333
project_specific,microsoft_vscode,30,bug,100,0.47266666666666657,0.39,0.36666666666666664,0.5666666666666667
project_specific,microsoft_vscode,30,feature,100,0.36333333333333334,0.19,0.23333333333333334,0.4666666666666667
project_specific,microsoft_vscode,30,question,100,0.24100000000000002,0.02,0.16666666666666666,0.3
project_specific,opencv_opencv,3,bug,100,0.5633333333333332,0.54,0.3333333333333333,1.0
project_specific,opencv_opencv,3,feature,100,0.43666666666666665,0.42,0.3333333333333333,0.6666666666666666
project_specific,opencv_opencv,3,question,100,0.2866666666666666,0.25,0.0,0.41666666666666663
project_specific,opencv_opencv,9,bug,100,0.5066666666666667,0.56,0.3333333333333333,0.6666666666666666
project_specific,opencv_opencv,9,feature,100,0.39555555555555566,0.31,0.3333333333333333,0.5555555555555556
project_specific,opencv_opencv,9,question,100,0.28444444444444444,0.12,0.1111111111111111,0.4444444444444444
project_specific,opencv_opencv,30,bug,100,0.4493333333333333,0.27,0.36666666666666664,0.5333333333333333
project_specific,opencv_opencv,30,feature,100,0.3643333333333333,0.06,0.3,0.43333333333333335
project_specific,opencv_opencv,30,question,100,0.325,0.03,0.2583333333333333,0.4
project_specific,tensorflow_tensorflow,3,bug,100,0.7966666666666667,0.9,0.6666666666666666,1.0
project_specific,tensorflow_tensorflow,3,feature,100,0.4433333333333332,0.39,0.3333333333333333,0.6666666666666666
project_specific,tensorflow_tensorflow,3,question,100,0.4933333333333333,0.48,0.3333333333333333,0.6666666666666666
project_specific,tensorflow_tensorflow,9,bug,100,0.7733333333333334,0.93,0.6666666666666666,0.8888888888888888
project_specific,tensorflow_tensorflow,9,feature,100,0.4755555555555555,0.47,0.3333333333333333,0.6666666666666666
project_specific,tensorflow_tensorflow,9,question,100,0.47444444444444434,0.48,0.3333333333333333,0.6666666666666666
project_specific,tensorflow_tensorflow,30,bug,100,0.7489999999999999,0.97,0.7,0.8083333333333333
project_specific,tensorflow_tensorflow,30,feature,100,0.5043333333333333,0.49,0.4,0.6333333333333333
project_specific,tensorflow_tensorflow,30,question,100,0.523,0.57,0.36666666666666664,0.6666666666666666
