setting,project,k_label,wall_time_s,issues_per_second,total_issues,total_prompt_tokens,total_generated_tokens,gpu_peak_memory_mb
project_specific,microsoft_vscode,k7,0.0006,533400.3,300,0,0,0.0
project_specific,microsoft_vscode,k8,0.0006,515904.6,300,0,0,0.0
project_specific,microsoft_vscode,k9,0.0006,524725.3,300,0,0,0.0
project_specific,microsoft_vscode,k10,0.0006,491136.3,300,0,0,0.0
project_specific,microsoft_vscode,k11,0.0006,486390.1,300,0,0,0.0
project_specific,microsoft_vscode,k12,0.0006,484517.2,300,0,0,0.0
project_specific,microsoft_vscode,k13,0.0006,466206.4,300,0,0,0.0
project_specific,microsoft_vscode,k14,0.0006,487520.8,300,0,0,0.0
project_specific,microsoft_vscode,k15,0.0009,332529.4,300,0,0,0.0
project_specific,microsoft_vscode,k16,0.0007,429597.5,300,0,0,0.0
project_specific,microsoft_vscode,k17,0.0007,422812.9,300,0,0,0.0
project_specific,microsoft_vscode,k18,0.0007,422955.0,300,0,0,0.0
project_specific,microsoft_vscode,k19,0.0008,377638.4,300,0,0,0.0
project_specific,microsoft_vscode,k20,0.0007,408801.6,300,0,0,0.0
project_specific,microsoft_vscode,k25,0.0008,364194.3,300,0,0,0.0
project_specific,microsoft_vscode,k30,0.0009,332178.2,300,0,0,0.0
project_specific,opencv_opencv,k1,0.0002,1268438.7,300,0,0,0.0
project_specific,opencv_opencv,k2,0.0005,641330.9,300,0,0,0.0
project_specific,opencv_opencv,k3,0.0005,588812.0,300,0,0,0.0
project_specific,opencv_opencv,k4,0.0005,546607.8,300,0,0,0.0
project_specific,opencv_opencv,k5,0.0006,522546.2,300,0,0,0.0
project_specific,opencv_opencv,k6,0.0006,506966.6,300,0,0,0.0
project_specific,opencv_opencv,k7,0.0006,518028.5,300,0,0,0.0
project_specific,opencv_opencv,k8,0.0006,522980.5,300,0,0,0.0
project_specific,opencv_opencv,k9,0.0006,477167.7,300,0,0,0.0
project_specific,opencv_opencv,k10,0.0006,473397.7,300,0,0,0.0
project_specific,opencv_opencv,k11,0.0006,478801.8,300,0,0,0.0
project_specific,opencv_opencv,k12,0.0006,465688.8,300,0,0,0.0
project_specific,opencv_opencv,k13,0.0007,437362.3,300,0,0,0.0
project_specific,opencv_opencv,k14,0.0007,446044.4,300,0,0,0.0
project_specific,opencv_opencv,k15,0.0007,450354.8,300,0,0,0.0
project_specific,opencv_opencv,k16,0.0007,437971.2,300,0,0,0.0
project_specific,opencv_opencv,k17,0.0007,439194.1,300,0,0,0.0
project_specific,opencv_opencv,k18,0.0007,403945.8,300,0,0,0.0
project_specific,opencv_opencv,k19,0.0008,396437.1,300,0,0,0.0
project_specific,opencv_opencv,k20,0.0007,402911.0,300,0,0,0.0
project_specific,opencv_opencv,k25,0.0008,372385.7,300,0,0,0.0
project_specific,opencv_opencv,k30,0.0009,320829.0,300,0,0,0.0
project_specific,tensorflow_tensorflow,k1,0.0002,1295871.5,300,0,0,0.0
project_specific,tensorflow_tensorflow,k2,0.0005,625082.6,300,0,0,0.0
project_specific,tensorflow_tensorflow,k3,0.0005,565270.1,300,0,0,0.0
project_specific,tensorflow_tensorflow,k4,0.0006,541433.4,300,0,0,0.0
project_specific,tensorflow_tensorflow,k5,0.0006,525163.3,300,0,0,0.0
project_specific,tensorflow_tensorflow,k6,0.0006,512333.6,300,0,0,0.0
project_specific,tensorflow_tensorflow,k7,0.0006,512751.1,300,0,0,0.0
project_specific,tensorflow_tensorflow,k8,0.0006,509842.5,300,0,0,0.0
project_specific,tensorflow_tensorflow,k9,0.0006,509429.6,300,0,0,0.0
project_specific,tensorflow_tensorflow,k10,0.0006,486202.2,300,0,0,0.0
project_specific,tensorflow_tensorflow,k11,0.0007,414866.9,300,0,0,0.0
project_specific,tensorflow_tensorflow,k12,0.0007,441041.4,300,0,0,0.0
project_specific,tensorflow_tensorflow,k13,0.0007,454913.7,300,0,0,0.0
project_specific,tensorflow_tensorflow,k14,0.0007,435394.9,300,0,0,0.0
project_specific,tensorflow_tensorflow,k15,0.0007,426973.6,300,0,0,0.0
project_specific,tensorflow_tensorflow,k16,0.0007,439194.1,300,0,0,0.0
project_specific,tensorflow_tensorflow,k17,0.0007,407609.7,300,0,0,0.0
project_specific,tensorflow_tensorflow,k18,0.0008,393093.2,300,0,0,0.0
project_specific,tensorflow_tensorflow,k19,0.0008,395938.1,300,0,0,0.0
project_specific,tensorflow_tensorflow,k20,0.0008,381184.9,300,0,0,0.0
project_specific,tensorflow_tensorflow,k25,0.0009,318554.7,300,0,0,0.0
project_specific,tensorflow_tensorflow,k30,0.0011,274316.8,300,0,0,0.0
