model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ft,finetune_fixed,,False,300.0,0.0,0.0,0.6133,0.5859,0.6282,0.6133,0.5859,0.6282,0.6133,0.6167,0.5286,0.74,100.0,0.758,0.6975,0.83,100.0,0.383,0.6585,0.27,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k1,1.0,True,300.0,0.0,0.0,0.6333,0.6042,0.689,0.6333,0.6042,0.689,0.6333,0.6403,0.5294,0.81,100.0,0.7664,0.7193,0.82,100.0,0.406,0.8182,0.27,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k3,3.0,True,300.0,0.0,0.0,0.71,0.7018,0.7398,0.71,0.7018,0.7398,0.71,0.7069,0.6212,0.82,100.0,0.783,0.7411,0.83,100.0,0.6154,0.8571,0.48,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k6,6.0,True,300.0,15.0,0.05,0.7133,0.728,0.7662,0.7133,0.728,0.7662,0.7133,0.7204,0.6847,0.76,100.0,0.7847,0.7523,0.82,100.0,0.6788,0.8615,0.56,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k9,9.0,True,300.0,17.0,0.0567,0.7233,0.7436,0.7805,0.7233,0.7436,0.7805,0.7233,0.715,0.6916,0.74,100.0,0.7864,0.7642,0.81,100.0,0.7294,0.8857,0.62,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.63,0.5992,0.6926,0.63,0.5992,0.6926,0.63,0.6378,0.526,0.81,100.0,0.7628,0.713,0.82,100.0,0.3969,0.8387,0.26,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.7033,0.695,0.738,0.7033,0.695,0.738,0.7033,0.6953,0.609,0.81,100.0,0.7793,0.7345,0.83,100.0,0.6104,0.8704,0.47,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k6,6.0,True,300.0,9.0,0.03,0.7267,0.7345,0.761,0.7267,0.7345,0.761,0.7267,0.7324,0.6903,0.78,100.0,0.7847,0.7523,0.82,100.0,0.6864,0.8406,0.58,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k9,9.0,True,300.0,14.0,0.0467,0.7367,0.7549,0.7831,0.7367,0.7549,0.7831,0.7367,0.71,0.71,0.71,100.0,0.7751,0.7431,0.81,100.0,0.7797,0.8961,0.69,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,zero_shot,0.0,True,300.0,0.0,0.0,0.5833,0.5149,0.6497,0.5833,0.5149,0.6497,0.5833,0.6165,0.494,0.82,100.0,0.7511,0.686,0.83,100.0,0.177,0.7692,0.1,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/evaluations/eval_zero_shot.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ft,finetune_fixed,,False,300.0,10.0,0.0333,0.45,0.4174,0.4218,0.45,0.4174,0.4218,0.45,0.5455,0.439,0.72,100.0,0.623,0.6867,0.57,100.0,0.0839,0.1395,0.06,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k1,1.0,False,300.0,0.0,0.0,0.68,0.677,0.6764,0.68,0.677,0.6764,0.68,0.6634,0.6569,0.67,100.0,0.7751,0.7431,0.81,100.0,0.5926,0.6292,0.56,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k3,3.0,False,300.0,0.0,0.0,0.66,0.6545,0.6557,0.66,0.6545,0.6557,0.66,0.6244,0.6095,0.64,100.0,0.7757,0.7281,0.83,100.0,0.5635,0.6296,0.51,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k6,6.0,False,300.0,15.0,0.05,0.6567,0.6668,0.6915,0.6567,0.6668,0.6915,0.6567,0.6763,0.6542,0.7,100.0,0.756,0.7248,0.79,100.0,0.568,0.6957,0.48,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k9,9.0,False,300.0,17.0,0.0567,0.6233,0.6336,0.6584,0.6233,0.6336,0.6584,0.6233,0.6341,0.619,0.65,100.0,0.7429,0.7091,0.78,100.0,0.5238,0.6471,0.44,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.6067,0.6097,0.6148,0.6067,0.6097,0.6148,0.6067,0.6263,0.6327,0.62,100.0,0.6911,0.7253,0.66,100.0,0.5118,0.4865,0.54,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.61,0.6068,0.6195,0.61,0.6068,0.6195,0.61,0.5294,0.6429,0.45,100.0,0.744,0.7196,0.77,100.0,0.5471,0.4959,0.61,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k6,6.0,False,300.0,9.0,0.03,0.6267,0.6276,0.6567,0.6267,0.6276,0.6567,0.6267,0.525,0.7,0.42,100.0,0.7488,0.7117,0.79,100.0,0.6091,0.5583,0.67,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k9,9.0,False,300.0,14.0,0.0467,0.6333,0.6391,0.6779,0.6333,0.6391,0.6779,0.6333,0.535,0.7368,0.42,100.0,0.7583,0.7207,0.8,100.0,0.6239,0.5763,0.68,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ft,finetune_fixed,,False,300.0,1.0,0.0033,0.5633,0.5127,0.5675,0.5633,0.5127,0.5675,0.5633,0.609,0.488,0.81,100.0,0.7212,0.6944,0.75,100.0,0.208,0.52,0.13,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/eval_finetune_fixed.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k1,1.0,False,300.0,0.0,0.0,0.6033,0.548,0.6543,0.6033,0.548,0.6543,0.6033,0.636,0.5155,0.83,100.0,0.758,0.6975,0.83,100.0,0.25,0.75,0.15,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k3,3.0,False,300.0,0.0,0.0,0.66,0.635,0.7117,0.66,0.635,0.7117,0.66,0.6693,0.5563,0.84,100.0,0.783,0.7411,0.83,100.0,0.4526,0.8378,0.31,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k6,6.0,False,300.0,15.0,0.05,0.6367,0.635,0.7131,0.6367,0.635,0.7131,0.6367,0.655,0.5814,0.75,100.0,0.7535,0.7043,0.81,100.0,0.4965,0.8537,0.35,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag,k9,9.0,False,300.0,17.0,0.0567,0.63,0.6329,0.7042,0.63,0.6329,0.7042,0.63,0.6393,0.5882,0.7,100.0,0.7455,0.6833,0.82,100.0,0.5139,0.8409,0.37,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k1,1.0,False,300.0,0.0,0.0,0.6033,0.5446,0.6647,0.6033,0.5446,0.6647,0.6033,0.6466,0.5181,0.86,100.0,0.75,0.6983,0.81,100.0,0.2373,0.7778,0.14,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k1.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k3,3.0,False,300.0,0.0,0.0,0.68,0.6556,0.7382,0.68,0.6556,0.7382,0.68,0.6908,0.5772,0.86,100.0,0.7944,0.7456,0.85,100.0,0.4818,0.8919,0.33,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k3.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k6,6.0,False,300.0,9.0,0.03,0.66,0.6579,0.7171,0.66,0.6579,0.7171,0.66,0.6754,0.6016,0.77,100.0,0.7442,0.6957,0.8,100.0,0.5541,0.8542,0.41,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k6.csv,0.0
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,microsoft_vscode,ragtag_debias,k9,9.0,False,300.0,14.0,0.0467,0.6533,0.6609,0.7048,0.6533,0.6609,0.7048,0.6533,0.6445,0.6126,0.68,100.0,0.7523,0.6949,0.82,100.0,0.586,0.807,0.46,100.0,results/issues11k/project_specific/microsoft_vscode/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/evaluations/eval_k9.csv,0.0
,,project_specific,microsoft_vscode,vtag,k1,1.0,False,300.0,0.0,0.0,0.5867,0.5774,0.5873,0.5867,0.5774,0.5873,0.5867,0.5279,0.5361,0.52,100.0,0.5146,0.6197,0.44,100.0,0.6897,0.6061,0.8,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k1.csv,1.0
,,project_specific,microsoft_vscode,vtag,k10,10.0,False,300.0,0.0,0.0,0.6267,0.6209,0.6344,0.6267,0.6209,0.6344,0.6267,0.5849,0.5536,0.62,100.0,0.5595,0.6912,0.47,100.0,0.7182,0.6583,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k10.csv,10.0
,,project_specific,microsoft_vscode,vtag,k11,11.0,False,300.0,0.0,0.0,0.6267,0.6213,0.6381,0.6267,0.6213,0.6381,0.6267,0.5794,0.5439,0.62,100.0,0.5663,0.7121,0.47,100.0,0.7182,0.6583,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k11.csv,11.0
,,project_specific,microsoft_vscode,vtag,k12,12.0,False,300.0,0.0,0.0,0.6133,0.6069,0.6234,0.6133,0.6069,0.6234,0.6133,0.5673,0.5463,0.59,100.0,0.5542,0.697,0.46,100.0,0.6991,0.627,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k12.csv,12.0
,,project_specific,microsoft_vscode,vtag,k13,13.0,False,300.0,0.0,0.0,0.63,0.624,0.6426,0.63,0.624,0.6426,0.63,0.6,0.5727,0.63,100.0,0.5697,0.7231,0.47,100.0,0.7022,0.632,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k13.csv,13.0
,,project_specific,microsoft_vscode,vtag,k14,14.0,False,300.0,0.0,0.0,0.6533,0.6485,0.6654,0.6533,0.6485,0.6654,0.6533,0.6184,0.5981,0.64,100.0,0.6071,0.75,0.51,100.0,0.72,0.648,0.81,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k14.csv,14.0
,,project_specific,microsoft_vscode,vtag,k15,15.0,False,300.0,0.0,0.0,0.6367,0.6308,0.6482,0.6367,0.6308,0.6482,0.6367,0.5842,0.5784,0.59,100.0,0.5952,0.7353,0.5,100.0,0.713,0.6308,0.82,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k15.csv,15.0
,,project_specific,microsoft_vscode,vtag,k16,16.0,False,300.0,0.0,0.0,0.6333,0.6272,0.645,0.6333,0.6272,0.645,0.6333,0.5865,0.5648,0.61,100.0,0.5783,0.7273,0.48,100.0,0.7168,0.6429,0.81,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k16.csv,16.0
,,project_specific,microsoft_vscode,vtag,k17,17.0,False,300.0,0.0,0.0,0.63,0.6219,0.6433,0.63,0.6219,0.6433,0.63,0.5825,0.566,0.6,100.0,0.5644,0.7302,0.46,100.0,0.7186,0.6336,0.83,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k17.csv,17.0
,,project_specific,microsoft_vscode,vtag,k18,18.0,False,300.0,0.0,0.0,0.63,0.6223,0.6475,0.63,0.6223,0.6475,0.63,0.5686,0.5577,0.58,100.0,0.5802,0.7581,0.47,100.0,0.7179,0.6269,0.84,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k18.csv,18.0
,,project_specific,microsoft_vscode,vtag,k19,19.0,False,300.0,0.0,0.0,0.6267,0.6169,0.6457,0.6267,0.6169,0.6457,0.6267,0.58,0.58,0.58,100.0,0.5625,0.75,0.45,100.0,0.7083,0.6071,0.85,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k19.csv,19.0
,,project_specific,microsoft_vscode,vtag,k2,2.0,False,300.0,0.0,0.0,0.5867,0.5774,0.5873,0.5867,0.5774,0.5873,0.5867,0.5279,0.5361,0.52,100.0,0.5146,0.6197,0.44,100.0,0.6897,0.6061,0.8,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k2.csv,2.0
,,project_specific,microsoft_vscode,vtag,k20,20.0,False,300.0,0.0,0.0,0.64,0.6318,0.668,0.64,0.6318,0.668,0.64,0.5951,0.581,0.61,100.0,0.586,0.807,0.46,100.0,0.7143,0.6159,0.85,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k20.csv,20.0
,,project_specific,microsoft_vscode,vtag,k25,25.0,False,300.0,0.0,0.0,0.6233,0.6098,0.6501,0.6233,0.6098,0.6501,0.6233,0.5922,0.5755,0.61,100.0,0.5263,0.7692,0.4,100.0,0.7107,0.6056,0.86,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k25.csv,25.0
,,project_specific,microsoft_vscode,vtag,k3,3.0,False,300.0,0.0,0.0,0.5833,0.573,0.5869,0.5833,0.573,0.5869,0.5833,0.5352,0.5044,0.57,100.0,0.4785,0.619,0.39,100.0,0.7054,0.6371,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k3.csv,3.0
,,project_specific,microsoft_vscode,vtag,k30,30.0,False,300.0,0.0,0.0,0.6333,0.6217,0.6558,0.6333,0.6217,0.6558,0.6333,0.6058,0.5833,0.63,100.0,0.5419,0.7636,0.42,100.0,0.7173,0.6204,0.85,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k30.csv,30.0
,,project_specific,microsoft_vscode,vtag,k4,4.0,False,300.0,0.0,0.0,0.59,0.5818,0.5994,0.59,0.5818,0.5994,0.59,0.5308,0.5045,0.56,100.0,0.5153,0.6667,0.42,100.0,0.6991,0.627,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k4.csv,4.0
,,project_specific,microsoft_vscode,vtag,k5,5.0,False,300.0,0.0,0.0,0.6333,0.6265,0.6415,0.6333,0.6265,0.6415,0.6333,0.5888,0.5526,0.63,100.0,0.5542,0.697,0.46,100.0,0.7364,0.675,0.81,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k5.csv,5.0
,,project_specific,microsoft_vscode,vtag,k6,6.0,False,300.0,0.0,0.0,0.63,0.6215,0.6368,0.63,0.6215,0.6368,0.63,0.6027,0.5546,0.66,100.0,0.5244,0.6719,0.43,100.0,0.7373,0.6838,0.8,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k6.csv,6.0
,,project_specific,microsoft_vscode,vtag,k7,7.0,False,300.0,0.0,0.0,0.6367,0.6293,0.641,0.6367,0.6293,0.641,0.6367,0.6038,0.5714,0.64,100.0,0.5476,0.6765,0.46,100.0,0.7364,0.675,0.81,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k7.csv,7.0
,,project_specific,microsoft_vscode,vtag,k8,8.0,False,300.0,0.0,0.0,0.6367,0.63,0.6451,0.6367,0.63,0.6451,0.6367,0.6111,0.569,0.66,100.0,0.5542,0.697,0.46,100.0,0.7248,0.6695,0.79,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k8.csv,8.0
,,project_specific,microsoft_vscode,vtag,k9,9.0,False,300.0,0.0,0.0,0.6167,0.6103,0.6244,0.6167,0.6103,0.6244,0.6167,0.5604,0.5421,0.58,100.0,0.5595,0.6912,0.47,100.0,0.7111,0.64,0.8,100.0,results/issues11k/project_specific/microsoft_vscode/vtag/evaluations/eval_k9.csv,9.0
,,project_specific,microsoft_vscode,vtag_debias,k1,1.0,False,300.0,0.0,0.0,0.5867,0.5774,0.5873,0.5867,0.5774,0.5873,0.5867,0.5279,0.5361,0.52,100.0,0.5146,0.6197,0.44,100.0,0.6897,0.6061,0.8,100.0,results/issues11k/project_specific/microsoft_vscode/vtag_debias_m3/evaluations/eval_k1.csv,1.0
,,project_specific,microsoft_vscode,vtag_debias,k3,3.0,False,300.0,0.0,0.0,0.5667,0.5319,0.5661,0.5667,0.5319,0.5661,0.5667,0.3143,0.55,0.22,100.0,0.6146,0.6,0.63,100.0,0.6667,0.5484,0.85,100.0,results/issues11k/project_specific/microsoft_vscode/vtag_debias_m3/evaluations/eval_k3.csv,3.0
,,project_specific,microsoft_vscode,vtag_debias,k6,6.0,False,300.0,0.0,0.0,0.5367,0.502,0.519,0.5367,0.502,0.519,0.5367,0.2857,0.4468,0.21,100.0,0.551,0.5625,0.54,100.0,0.6693,0.5478,0.86,100.0,results/issues11k/project_specific/microsoft_vscode/vtag_debias_m3/evaluations/eval_k6.csv,6.0
,,project_specific,microsoft_vscode,vtag_debias,k9,9.0,False,300.0,0.0,0.0,0.54,0.5167,0.5396,0.54,0.5167,0.5396,0.54,0.3625,0.4833,0.29,100.0,0.5363,0.6076,0.48,100.0,0.6513,0.528,0.85,100.0,results/issues11k/project_specific/microsoft_vscode/vtag_debias_m3/evaluations/eval_k9.csv,9.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ft,finetune_fixed,,False,300.0,0.0,0.0,0.5167,0.5185,0.5609,0.5167,0.5185,0.5609,0.5167,0.6044,0.544,0.68,100.0,0.5419,0.7636,0.42,100.0,0.4091,0.375,0.45,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag,k1,1.0,False,300.0,0.0,0.0,0.6667,0.6526,0.7027,0.6667,0.6526,0.7027,0.6667,0.6454,0.5364,0.81,100.0,0.8259,0.8218,0.83,100.0,0.4865,0.75,0.36,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag,k3,3.0,False,300.0,0.0,0.0,0.6967,0.6863,0.7258,0.6967,0.6863,0.7258,0.6967,0.6829,0.5753,0.84,100.0,0.8342,0.8384,0.83,100.0,0.5419,0.7636,0.42,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag,k6,6.0,False,300.0,17.0,0.0567,0.6767,0.6898,0.7413,0.6767,0.6898,0.7413,0.6767,0.6638,0.5891,0.76,100.0,0.8325,0.8454,0.82,100.0,0.5732,0.7895,0.45,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag,k9,9.0,False,300.0,20.0,0.0667,0.6767,0.6947,0.7537,0.6767,0.6947,0.7537,0.6767,0.6753,0.5954,0.78,100.0,0.8229,0.8587,0.79,100.0,0.586,0.807,0.46,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k9.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag_debias,k1,1.0,True,300.0,0.0,0.0,0.6567,0.6438,0.6876,0.6567,0.6438,0.6876,0.6567,0.6341,0.5342,0.78,100.0,0.8039,0.7885,0.82,100.0,0.4933,0.74,0.37,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag_debias,k3,3.0,True,300.0,0.0,0.0,0.69,0.6839,0.7173,0.69,0.6839,0.7173,0.69,0.6611,0.5683,0.79,100.0,0.8119,0.8039,0.82,100.0,0.5786,0.7797,0.46,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k3.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag_debias,k6,6.0,True,300.0,4.0,0.0133,0.71,0.7085,0.7326,0.71,0.7085,0.7326,0.71,0.6903,0.619,0.78,100.0,0.8293,0.8095,0.85,100.0,0.6061,0.7692,0.5,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k6.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,opencv_opencv,ragtag_debias,k9,9.0,True,300.0,17.0,0.0567,0.6933,0.7087,0.7501,0.6933,0.7087,0.7501,0.6933,0.6727,0.6167,0.74,100.0,0.84,0.84,0.84,100.0,0.6135,0.7937,0.5,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/evaluations/eval_k9.csv,0.0
Qwen-32B,unsloth_Qwen2_5_32B_Instruct_bnb_4bit,project_specific,opencv_opencv,ft,finetune_fixed,,False,300.0,1.0,0.0033,0.6367,0.6313,0.6417,0.6367,0.6313,0.6417,0.6367,0.5189,0.5647,0.48,100.0,0.7155,0.6288,0.83,100.0,0.6593,0.7317,0.6,100.0,results/issues11k/project_specific/opencv_opencv/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
