model,model_tag,setting,project,approach,k_label,k,used_v2,total_issues,invalid_count,invalid_rate,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,precision_weighted,recall_weighted,f1_bug,precision_bug,recall_bug,support_bug,f1_feature,precision_feature,recall_feature,support_feature,f1_question,precision_question,recall_question,support_question,source_path,top_k
,,agnostic,_overall,vtag,k7,7.0,False,3300.0,0.0,0.0,0.5967,0.5946,0.6036,0.5967,0.5946,0.6036,0.5967,0.6255,0.5563,0.7145,1100.0,0.6099,0.6645,0.5636,1100.0,0.5482,0.5901,0.5118,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k7.csv,7.0
,,agnostic,_overall,vtag,k8,8.0,False,3300.0,0.0,0.0,0.5973,0.5949,0.6056,0.5973,0.5949,0.6056,0.5973,0.6255,0.5513,0.7227,1100.0,0.609,0.6635,0.5627,1100.0,0.5501,0.6022,0.5064,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k8.csv,8.0
,,agnostic,_overall,vtag,k9,9.0,False,3300.0,0.0,0.0,0.6009,0.5984,0.6084,0.6009,0.5984,0.6084,0.6009,0.6316,0.5587,0.7264,1100.0,0.6155,0.6702,0.5691,1100.0,0.5481,0.5962,0.5073,1100.0,results/issues11k/agnostic/vtag/evaluations/eval_k9.csv,9.0
,,agnostic,_overall,vtag_debias,k1,1.0,False,3300.0,0.0,0.0,0.5664,0.5649,0.5695,0.5664,0.5649,0.5695,0.5664,0.5951,0.5436,0.6573,1100.0,0.5628,0.6059,0.5255,1100.0,0.5369,0.5591,0.5164,1100.0,results/issues11k/agnostic/vtag_debias_m3/evaluations/eval_k1.csv,1.0
,,agnostic,_overall,vtag_debias,k3,3.0,False,3300.0,0.0,0.0,0.5733,0.5656,0.6033,0.5733,0.5656,0.6033,0.5733,0.4979,0.7252,0.3791,1100.0,0.6156,0.5675,0.6727,1100.0,0.5831,0.5172,0.6682,1100.0,results/issues11k/agnostic/vtag_debias_m3/evaluations/eval_k3.csv,3.0
,,agnostic,_overall,vtag_debias,k6,6.0,False,3300.0,0.0,0.0,0.5952,0.5914,0.6146,0.5952,0.5914,0.6146,0.5952,0.5461,0.7077,0.4445,1100.0,0.6311,0.6038,0.6609,1100.0,0.5972,0.5324,0.68,1100.0,results/issues11k/agnostic/vtag_debias_m3/evaluations/eval_k6.csv,6.0
,,agnostic,_overall,vtag_debias,k9,9.0,False,3300.0,0.0,0.0,0.6048,0.6048,0.6131,0.6048,0.6048,0.6131,0.6048,0.5892,0.6562,0.5345,1100.0,0.6287,0.6406,0.6173,1100.0,0.5966,0.5424,0.6627,1100.0,results/issues11k/agnostic/vtag_debias_m3/evaluations/eval_k9.csv,9.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,False,300.0,0.0,0.0,0.77,0.7683,0.7686,0.77,0.7683,0.7686,0.77,0.8276,0.8155,0.84,100.0,0.7826,0.757,0.81,100.0,0.6947,0.7333,0.66,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/evaluations/eval_finetune_fixed.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,False,300.0,3.0,0.01,0.69,0.6198,0.7727,0.69,0.6198,0.7727,0.69,0.8304,0.75,0.93,100.0,0.7704,0.6306,0.99,100.0,0.2586,0.9375,0.15,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k1.csv,0.0
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,False,300.0,3.0,0.01,0.7133,0.6507,0.7861,0.7133,0.6507,0.7861,0.7133,0.8354,0.7226,0.99,100.0,0.8,0.6857,0.96,100.0,0.3167,0.95,0.19,100.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/evaluations/eval_k3.csv,0.0
