model,model_tag,setting,project,approach,k_label,k,cost_path
Qwen-3B,unsloth_Qwen2_5_3B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ft,finetune_fixed,,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k1,1.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k3,3.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k6,6.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag,k9,9.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k1,1.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k3,3.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k6,6.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
Qwen-7B,unsloth_Qwen2_5_7B_Instruct_bnb_4bit,project_specific,ansible_ansible,ragtag_debias,k9,9.0,results/issues11k/project_specific/ansible_ansible/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k1,1.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k10,10.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k11,11.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k12,12.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k13,13.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k14,14.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k15,15.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k16,16.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k17,17.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k18,18.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k19,19.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k2,2.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k20,20.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k25,25.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k3,3.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k30,30.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k4,4.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k5,5.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k6,6.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k7,7.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k8,8.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag,k9,9.0,results/issues11k/project_specific/ansible_ansible/vtag/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag_debias,k1,1.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag_debias,k3,3.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag_debias,k6,6.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/cost_metrics.csv
,,project_specific,ansible_ansible,vtag_debias,k9,9.0,results/issues11k/project_specific/ansible_ansible/vtag_debias_m3/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ft,finetune_fixed,,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k1,1.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k3,3.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k6,6.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
Qwen-14B,unsloth_Qwen2_5_14B_Instruct_bnb_4bit,project_specific,bitcoin_bitcoin,ragtag,k9,9.0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/cost_metrics.csv
